date,volume,input
2000-01-01,100.0,1088.2026172983833
2000-02-01,398.5075021679848,1054.1258912566639
2000-03-01,625.5054939788874,1116.1727616180565
2000-04-01,796.2439236770794,1210.4272771167819
2000-05-01,918.7551832579138,1220.023100814576
2000-06-01,960.8769704426365,1102.331179035526
2000-07-01,1020.7922869415881,1218.8169527065206
2000-08-01,1046.906006768666,1178.8399567785602
2000-09-01,1104.437893585374,1190.8774553240298
2000-10-01,1127.796031749435,1220.4518703746526
2000-11-01,1139.1894123454317,1205.1467883300081
2000-12-01,1155.277047349617,1262.8780340266158
2001-01-01,1171.2911986437834,1214.8611629718207
2001-02-01,1142.2374492231913,1164.3546303583837
2001-03-01,1132.99880040579,1157.2857977475014
2001-04-01,1108.93065471847,1124.637752848842
2001-05-01,1112.419080571366,1152.354625568007
2001-06-01,1069.4866880310929,1034.8129982704618
2001-07-01,1029.8325133210155,1026.8232437599193
2001-08-01,985.3373406550879,934.2365649673684
2001-09-01,922.8648668603711,815.7393383918449
2001-10-01,914.0921602963235,944.1768411130477
2001-11-01,903.8693049186878,925.4193765205323
2001-12-01,854.713479338382,819.2444499158605
2002-01-01,861.7329450942066,948.2067099642367
2002-02-01,801.5667708323268,745.2123274079053
2002-03-01,782.0519827002186,808.767689280554
2002-04-01,758.1965869266787,791.3429344942766
2002-05-01,757.8967524281879,877.4060389507547
2002-06-01,776.6910799929982,880.1406515211969
2002-07-01,766.4337632095346,825.9932739239113
2002-08-01,754.7806022565653,854.0554950966007
2002-09-01,754.5344727175709,812.4923441270574
2002-10-01,731.1672095424524,783.7717079072278
2002-11-01,757.5556483468858,894.7813038824172
2002-12-01,798.2054327033503,951.9343488154138
